folder,path,verdict,reason,left0_votes,left1_votes,frames_scanned,grids_seen,applied,error
20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2,data/dataset/20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929005408-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929005408-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929004225-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929004225-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929010732-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929010732-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1,data/dataset/20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929012017-ummm-bn6-vs-BiohazrdMnSP-round1-p1,data/dataset/20230929012017-ummm-bn6-vs-BiohazrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929005832-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929005832-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1,data/dataset/20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929012825-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929012825-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929022250-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929022250-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929035201-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929035201-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006011012-lunazoe-bn6-vs-IndianaOrz-round2-p1,data/dataset/20231006011012-lunazoe-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929035359-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929035359-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929025517-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929025517-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006010702-lunazoe-bn6-vs-IndianaOrz-round1-p1,data/dataset/20231006010702-lunazoe-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20230929040011-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929040011-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006011604-lunazoe-bn6-vs-IndianaOrz-round2-p1,data/dataset/20231006011604-lunazoe-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006012008-lunazoe-bn6-vs-DthKrdMnSP-round3-p1,data/dataset/20231006012008-lunazoe-bn6-vs-DthKrdMnSP-round3-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006011421-lunazoe-bn6-vs-IndianaOrz-round1-p1,data/dataset/20231006011421-lunazoe-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006012408-lunazoe-bn6-vs-IndianaOrz-round1-p1,data/dataset/20231006012408-lunazoe-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006015107-lunazoe-bn6-vs-IndianaOrz-round1-p2,data/dataset/20231006015107-lunazoe-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006012733-lunazoe-bn6-vs-IndianaOrz-round2-p1,data/dataset/20231006012733-lunazoe-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006015259-lunazoe-bn6-vs-IndianaOrz-round2-p1,data/dataset/20231006015259-lunazoe-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006020252-lunazoe-bn6-vs-IndianaOrz-round1-p2,data/dataset/20231006020252-lunazoe-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006015108-lunazoe-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20231006015108-lunazoe-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
20231006020253-lunazoe-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20231006020253-lunazoe-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,early:left0>=left1*1.25,10,0,10,10,False,
